Index, Open, High, Low, Current Value, Prev. Close, Ch (pts), Ch (%), 52 Wk High, 52 WK Low, Turnover (Rs. Cr), % in Total Turnover
BSE SENSEX,77102.05,77145.46,76719.70,76858.73,76606.57,252.16,0.33,77145.46,62801.91,370.90,6.45
BSE SENSEX 50,24685.81,24695.05,24555.77,24598.01,24526.13,71.88,0.29,24695.05,19576.64,588.10,10.22
BSE SENSEX Next 50,80680.74,80694.30,80059.32,80331.22,79876.61,454.61,0.57,80694.30,52201.04,447.22,7.77
BSE 100,24864.62,24873.02,24723.33,24772.35,24687.63,84.72,0.34,24873.02,19037.98,1038.94,18.06
BSE Bharat 22 Index,8949.63,8951.26,8846.71,8889.82,8870.31,19.51,0.22,8951.26,8846.71,324.24,5.64
BSE MidCap,45555.10,45576.53,45293.66,45459.85,45164.03,295.82,0.65,45576.53,27911.73,2272.43,39.50
BSE SmallCap,50605.59,50683.17,50328.33,50601.97,50233.11,368.86,0.73,50683.17,31902.03,2313.69,40.22
BSE 200,10900.32,10903.70,10841.33,10866.02,10823.79,42.23,0.39,10903.70,8047.51,1752.41,30.46
BSE 150 MidCap Index,15467.15,15472.66,15365.85,15432.72,15338.76,93.96,0.61,15472.66,9776.67,2473.63,43.00
BSE 250 SmallCap Index,6738.05,6741.43,6707.09,6740.56,6686.52,54.04,0.81,6741.43,4312.18,833.74,14.49
BSE 250 LargeMidCap Index,10361.30,10364.18,10303.18,10328.15,10288.67,39.48,0.38,10364.18,7614.22,3496.86,60.79
BSE 400 MidSmallCap Index,11717.51,11720.75,11648.32,11701.11,11622.67,78.44,0.67,11720.75,7441.44,3307.37,57.49
BSE 500,34951.04,34959.06,34758.67,34850.49,34704.05,146.44,0.42,34959.06,25392.29,4330.60,75.28
BSE AllCap,10194.05,10196.38,10137.24,10165.55,10121.54,44.01,0.43,10196.38,7326.87,5671.90,98.59
BSE LargeCap,9236.95,9240.32,9185.11,9203.15,9175.08,28.07,0.31,9240.32,7082.33,1085.78,18.87
BSE SmallCap Select Index,7575.97,7592.45,7543.78,7584.01,7514.80,69.21,0.92,7592.45,5168.61,271.99,4.73
BSE MidCap Select Index,16225.68,16237.17,16109.53,16151.80,16059.25,92.55,0.58,16237.17,10321.38,213.09,3.70
BSE 100 LargeCap TMC Index,8876.52,8879.78,8828.91,8845.79,8817.40,28.39,0.32,8879.78,6751.16,1023.23,17.79
Index,Current Value,Prev. Close,Ch (pts),Ch (%),Date
BSE SENSEX Next 50 TMC,13712.64000000000000,13651.62000000000000,61.02000000000000,0.45,6/12/2024 12:00:00 AM
BSE LargeMidCap,10200.55000000000000,10156.59000000000000,43.96000000000000,0.43,6/12/2024 12:00:00 AM
BSE MidSmallCap,12740.92000000000000,12606.50000000000000,134.42000000000000,1.07,6/12/2024 12:00:00 AM
BSE 250 LargeMidCap 65:35 Index ,11385.27000000000000,10901.17000000000000,484.10000000000000,4.44,6/12/2024 12:00:00 AM
BSE SENSEX 50 TMC,7969.73000000000000,7952.08000000000000,17.65000000000000,0.22,6/12/2024 12:00:00 AM

